spot_name,lat,lon,date,time,availability
Custom House,53.348894,-6.246325,2025-08-03,14:00,0
Camden Lane,53.3317,-6.265705,2025-08-04,18:00,0
Heuston Square,53.346428,-6.292297,2025-08-07,07:00,1
St. Stephen's Green,53.338051,-6.258684,2025-08-01,16:00,0
Dawson Street,53.340099,-6.258359,2025-08-02,10:00,0
Camden Lane,53.331907,-6.265412,2025-08-01,12:00,0
Pearse Station,53.342576,-6.250462,2025-08-03,08:00,1
Ormond Quay,53.346687,-6.266831,2025-08-05,08:00,1
Dawson Street,53.340697,-6.258106,2025-08-01,13:00,1
Parnell Carpark,53.352473,-6.262873,2025-08-02,12:00,1
Jervis Street,53.347379,-6.264639,2025-08-04,16:00,1
Dawson Street,53.340039,-6.258185,2025-08-02,14:00,0
Dawson Street,53.339766,-6.258329,2025-08-07,07:00,0
Camden Lane,53.332526,-6.265108,2025-08-01,19:00,1
Ormond Quay,53.347214,-6.266885,2025-08-05,17:00,1
Pearse Station,53.342662,-6.250639,2025-08-06,15:00,0
Heuston Square,53.34646,-6.291631,2025-08-03,08:00,0
Pearse Station,53.342916,-6.250746,2025-08-03,12:00,1
Liberty Park,53.343643,-6.275971,2025-08-02,13:00,0
Heuston Square,53.346641,-6.291374,2025-08-02,08:00,1
Camden Lane,53.332545,-6.2651,2025-08-07,07:00,0
Pearse Station,53.34265,-6.251189,2025-08-03,09:00,1
Jervis Street,53.348044,-6.264724,2025-08-06,07:00,0
St. Stephen's Green,53.33781,-6.259418,2025-08-04,20:00,0
Liberty Park,53.343493,-6.27612,2025-08-06,07:00,0
Custom House,53.349068,-6.246031,2025-08-07,16:00,1
Heuston Square,53.346366,-6.291976,2025-08-07,17:00,1
Jervis Street,53.347812,-6.264021,2025-08-05,16:00,1
Camden Lane,53.332396,-6.265148,2025-08-02,11:00,0
St. Stephen's Green,53.337994,-6.258762,2025-08-05,08:00,0
Parnell Carpark,53.351909,-6.263684,2025-08-03,09:00,0
Camden Lane,53.332195,-6.265787,2025-08-06,14:00,0
Camden Lane,53.332042,-6.265557,2025-08-03,19:00,0
Custom House,53.348144,-6.245482,2025-08-02,13:00,1
Liberty Park,53.343946,-6.275683,2025-08-04,14:00,1
Dawson Street,53.34011,-6.258332,2025-08-05,20:00,1
Heuston Square,53.345825,-6.291671,2025-08-03,19:00,0
Camden Lane,53.332172,-6.265208,2025-08-06,22:00,0
Parnell Carpark,53.352033,-6.263013,2025-08-06,10:00,0
Dawson Street,53.340496,-6.258068,2025-08-01,09:00,1
Liberty Park,53.343839,-6.275998,2025-08-01,20:00,1
Dawson Street,53.340335,-6.258692,2025-08-01,18:00,1
Pearse Station,53.342951,-6.250561,2025-08-06,19:00,1
Liberty Park,53.344272,-6.276466,2025-08-02,10:00,0
Jervis Street,53.347684,-6.26476,2025-08-07,18:00,0
Pearse Station,53.342715,-6.250461,2025-08-03,21:00,1
Liberty Park,53.343455,-6.275768,2025-08-06,12:00,0
Camden Lane,53.332172,-6.265651,2025-08-03,14:00,1
Custom House,53.348132,-6.246148,2025-08-04,16:00,0
St. Stephen's Green,53.337281,-6.258879,2025-08-04,22:00,1
Liberty Park,53.344015,-6.27636,2025-08-03,07:00,0
Ormond Quay,53.346727,-6.267443,2025-08-05,08:00,1
Dawson Street,53.340043,-6.258857,2025-08-02,09:00,0
Jervis Street,53.348011,-6.26434,2025-08-06,14:00,1
Camden Lane,53.331964,-6.264901,2025-08-05,22:00,0
Pearse Station,53.34284,-6.250943,2025-08-06,10:00,1
Camden Lane,53.331964,-6.265172,2025-08-06,22:00,0
Camden Lane,53.332586,-6.264873,2025-08-02,13:00,1
Jervis Street,53.34811,-6.264626,2025-08-06,18:00,1
Parnell Carpark,53.351929,-6.263313,2025-08-02,08:00,0
Heuston Square,53.34636,-6.291694,2025-08-06,16:00,0
St. Stephen's Green,53.337621,-6.259138,2025-08-07,08:00,1
Custom House,53.348233,-6.245405,2025-08-05,08:00,1
St. Stephen's Green,53.337518,-6.259208,2025-08-03,12:00,1
Pearse Station,53.343141,-6.251064,2025-08-01,19:00,1
Dawson Street,53.339967,-6.258342,2025-08-06,22:00,1
Liberty Park,53.343699,-6.275661,2025-08-02,11:00,1
Liberty Park,53.343727,-6.276375,2025-08-05,17:00,1
Pearse Station,53.343283,-6.250521,2025-08-06,14:00,1
Dawson Street,53.340345,-6.258287,2025-08-07,20:00,1
Dawson Street,53.339916,-6.258414,2025-08-01,14:00,1
Dawson Street,53.33995,-6.258534,2025-08-04,20:00,1
Parnell Carpark,53.352098,-6.263326,2025-08-07,10:00,1
Parnell Carpark,53.351714,-6.263572,2025-08-07,17:00,1
Custom House,53.348224,-6.245751,2025-08-07,16:00,1
Heuston Square,53.346513,-6.291692,2025-08-06,12:00,1
Parnell Carpark,53.351871,-6.263106,2025-08-03,17:00,0
Jervis Street,53.347855,-6.264178,2025-08-03,16:00,1
Dawson Street,53.340381,-6.257987,2025-08-05,20:00,0
Dawson Street,53.340041,-6.258266,2025-08-07,11:00,1
Parnell Carpark,53.352195,-6.263209,2025-08-07,16:00,0
Custom House,53.348237,-6.246234,2025-08-06,12:00,1
St. Stephen's Green,53.337533,-6.258917,2025-08-05,18:00,1
Ormond Quay,53.346636,-6.266829,2025-08-03,19:00,1
Camden Lane,53.332155,-6.265492,2025-08-01,21:00,1
Jervis Street,53.348174,-6.264091,2025-08-07,21:00,1
Camden Lane,53.33239,-6.265595,2025-08-02,08:00,1
Jervis Street,53.348126,-6.263972,2025-08-07,11:00,1
St. Stephen's Green,53.337719,-6.259361,2025-08-04,12:00,1
Liberty Park,53.343722,-6.275767,2025-08-03,12:00,0
Camden Lane,53.331725,-6.265519,2025-08-04,07:00,1
Liberty Park,53.343838,-6.276182,2025-08-01,18:00,1
Camden Lane,53.331776,-6.265494,2025-08-05,12:00,1
Heuston Square,53.346517,-6.292237,2025-08-03,12:00,1
St. Stephen's Green,53.337624,-6.258714,2025-08-03,21:00,1
Parnell Carpark,53.351938,-6.263026,2025-08-01,17:00,1
Ormond Quay,53.346684,-6.267116,2025-08-05,10:00,0
Jervis Street,53.348106,-6.264003,2025-08-03,13:00,1
Heuston Square,53.346663,-6.29188,2025-08-05,10:00,1
Camden Lane,53.331725,-6.264907,2025-08-06,15:00,0
St. Stephen's Green,53.337361,-6.259448,2025-08-06,16:00,0
Heuston Square,53.346371,-6.292265,2025-08-01,16:00,1
Camden Lane,53.332212,-6.265046,2025-08-05,22:00,0
Ormond Quay,53.347117,-6.26758,2025-08-07,19:00,1
Ormond Quay,53.346795,-6.266971,2025-08-07,22:00,0
Camden Lane,53.332117,-6.265298,2025-08-01,09:00,1
Dawson Street,53.340672,-6.258222,2025-08-03,16:00,1
Custom House,53.348204,-6.245723,2025-08-04,21:00,1
Jervis Street,53.3476,-6.264222,2025-08-07,08:00,1
Parnell Carpark,53.351977,-6.263492,2025-08-05,20:00,0
Ormond Quay,53.347283,-6.267278,2025-08-07,16:00,1
Pearse Station,53.342741,-6.25021,2025-08-03,15:00,0
Custom House,53.34872,-6.246286,2025-08-06,10:00,0
Liberty Park,53.343904,-6.27565,2025-08-05,09:00,0
Ormond Quay,53.346614,-6.266905,2025-08-02,11:00,0
Camden Lane,53.332565,-6.264955,2025-08-04,17:00,0
Camden Lane,53.332036,-6.26507,2025-08-02,19:00,1
Parnell Carpark,53.351746,-6.263438,2025-08-03,19:00,0
Jervis Street,53.347926,-6.264494,2025-08-05,15:00,1
Dawson Street,53.340504,-6.258746,2025-08-01,21:00,0
St. Stephen's Green,53.337389,-6.258831,2025-08-02,19:00,1
Ormond Quay,53.346654,-6.266967,2025-08-07,13:00,1
Dawson Street,53.340215,-6.258386,2025-08-01,19:00,1
St. Stephen's Green,53.337369,-6.258642,2025-08-06,09:00,1
Pearse Station,53.342566,-6.250974,2025-08-06,08:00,1
Heuston Square,53.346434,-6.291907,2025-08-04,07:00,1
Dawson Street,53.340698,-6.258886,2025-08-07,19:00,1
Ormond Quay,53.347349,-6.267493,2025-08-07,17:00,1
St. Stephen's Green,53.337954,-6.258692,2025-08-01,11:00,0
Custom House,53.34862,-6.245755,2025-08-05,16:00,1
Custom House,53.348332,-6.245593,2025-08-06,13:00,1
Camden Lane,53.332362,-6.265087,2025-08-07,07:00,0
Camden Lane,53.332,-6.26551,2025-08-05,16:00,1
Parnell Carpark,53.352179,-6.26351,2025-08-05,19:00,0
Liberty Park,53.344249,-6.275907,2025-08-02,08:00,1
Parnell Carpark,53.352201,-6.262889,2025-08-02,12:00,1
Jervis Street,53.348119,-6.263976,2025-08-04,09:00,1
Dawson Street,53.34065,-6.257996,2025-08-07,22:00,0
Heuston Square,53.346309,-6.291497,2025-08-07,14:00,0
St. Stephen's Green,53.337746,-6.259369,2025-08-04,20:00,1
Heuston Square,53.345928,-6.291948,2025-08-02,13:00,0
Heuston Square,53.346382,-6.291458,2025-08-06,08:00,1
Liberty Park,53.343611,-6.276288,2025-08-05,22:00,0
Custom House,53.348848,-6.245778,2025-08-06,12:00,0
Parnell Carpark,53.351867,-6.263409,2025-08-03,11:00,0
Camden Lane,53.3317,-6.265118,2025-08-06,16:00,1
Parnell Carpark,53.352287,-6.262833,2025-08-05,22:00,0
Jervis Street,53.347829,-6.264215,2025-08-06,16:00,0
Dawson Street,53.340313,-6.258381,2025-08-03,18:00,1
Jervis Street,53.348201,-6.264132,2025-08-03,09:00,0
Camden Lane,53.332141,-6.265213,2025-08-01,08:00,0
Liberty Park,53.344248,-6.276321,2025-08-05,12:00,1
St. Stephen's Green,53.337641,-6.258661,2025-08-03,22:00,1
Liberty Park,53.343453,-6.275981,2025-08-07,14:00,1
Liberty Park,53.343964,-6.276173,2025-08-03,20:00,0
Liberty Park,53.343934,-6.275935,2025-08-06,11:00,1
